Policy_ID,Customer_ID,Policy_Start_Date,Policy_End_Date,Policy_Type,Policy_Status,Customer_Age,Gender,Marital_Status,Region,City,Annual_Income,Vehicle_Age,Premium_Amount,Sum_Insured,Claim_Count,Claim_Amount,Claim_Status,Payment_Mode,Agent_ID,Agent_Name,Branch,Customer_Tenure_Years,Renewal_Status,Policy_Channel,Risk_Score,Customer_Satisfaction,Fraud_Flag
POL000001,CUST000001,17-08-2023,17-08-2024,Auto,Cancelled,46,Male,Married,East,Bhubaneswar,648741,6,31157.73,189811.7,0,0,No Claim,Monthly,AG0070,Agent_0070,Branch_001,4,Not Applicable,Agent,83,3,No
POL000002,CUST000002,03-03-2023,03-03-2024,Auto,Active,33,Female,Married,South,Bangalore,166364,7,23905.49,168414.48,0,0,No Claim,Monthly,AG0054,Agent_0054,Branch_005,1,Not Applicable,Agent,68,2,No
POL000003,CUST000003,14-01-2023,14-01-2024,Life,Active,25,Male,Single,South,Kochi,860672,0,42141.62,929783.68,0,0,No Claim,Monthly,AG0044,Agent_0044,Branch_002,4.1,Not Applicable,Online,35,3,No
POL000004,CUST000004,05-01-2025,05-01-2026,Life,Active,76,Female,Married,East,Kolkata,1349625,0,87646.29,3463765.59,0,0,No Claim,Monthly,AG0049,Agent_0049,Branch_006,4.6,Not Applicable,Agent,62,4,No
POL000005,CUST000005,29-01-2024,29-01-2025,Home,Active,44,Female,Divorced,North,Chandigarh,265445,0,27865.73,611793.46,0,0,No Claim,Quarterly,AG0013,Agent_0013,Branch_006,9.4,Not Applicable,Online,56,3,No
POL000006,CUST000006,30-11-2023,30-11-2024,Health,Expired,37,Female,Married,South,Hyderabad,496790,0,23253.57,276768.64,0,0,No Claim,Yearly,AG0069,Agent_0069,Branch_008,8.7,Renewed,Online,22,4,No
POL000007,CUST000007,16-02-2025,16-02-2026,Auto,Active,44,Female,Married,South,Hyderabad,1631084,4,40572.33,324286,0,0,No Claim,Monthly,AG0030,Agent_0030,Branch_007,5.2,Not Applicable,Branch,82,4,No
POL000008,CUST000008,02-07-2024,02-07-2025,Auto,Active,40,Female,Married,East,Bhubaneswar,453496,7,22422.35,258033.79,0,0,No Claim,Monthly,AG0059,Agent_0059,Branch_004,6.7,Not Applicable,Online,51,3,No
POL000009,CUST000009,22-06-2024,22-06-2025,Home,Expired,30,Male,Divorced,West,Surat,584563,0,32109.59,1055639.88,0,0,No Claim,Monthly,AG0097,Agent_0097,Branch_003,11.3,Renewed,Branch,40,2,No
POL000010,CUST000010,24-11-2023,24-11-2024,Life,Expired,42,Male,Married,West,Mumbai,230167,0,41303.1,1571694.42,0,0,No Claim,Monthly,AG0071,Agent_0071,Branch_002,6.3,Renewed,Agent,33,4,No
POL000011,CUST000011,30-06-2024,30-06-2025,Life,Expired,37,Male,Single,East,Kolkata,826278,0,51381.57,1760242.81,0,0,No Claim,Quarterly,AG0093,Agent_0093,Branch_003,7.8,Not Renewed,Branch,48,2,No
POL000012,CUST000012,05-11-2025,05-11-2026,Travel,Active,28,Male,Married,East,Bhubaneswar,730239,0,9482.57,57812.81,0,0,No Claim,Yearly,AG0070,Agent_0070,Branch_006,2.5,Not Applicable,Branch,38,4,No
POL000013,CUST000013,27-09-2025,27-09-2026,Auto,Active,28,Male,Single,East,Patna,1641793,2,32832.93,365804,0,0,No Claim,Monthly,AG0073,Agent_0073,Branch_008,10.9,Not Applicable,Online,42,3,No
POL000014,CUST000014,22-05-2023,22-05-2024,Travel,Expired,37,Female,Divorced,South,Chennai,317049,0,11992.91,85584.44,0,0,No Claim,Quarterly,AG0078,Agent_0078,Branch_004,2.3,Renewed,Branch,70,3,Yes
POL000015,CUST000015,30-09-2024,30-09-2025,Health,Expired,30,Female,Married,East,Guwahati,1953262,0,49104.78,812495.09,0,0,No Claim,Yearly,AG0003,Agent_0003,Branch_004,1.6,Renewed,Agent,56,4,No
